video_name,aircraft,visibility,mist,fog,haze,sky_cover_l1,cloud_height_l1,rain,snow
0_2022-11-19-09-59-42,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-19-10-05-14,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-19-10-10-46,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-19-10-16-18,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-19-10-21-50,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-11-19-10-25-47,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-19-10-25-47,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-19-10-46-05,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-11-19-10-55-26,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-19-11-35-38,6,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
0_2022-11-19-12-16-30,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
